"","Player","Year","Gcar","Gtm","Date","Tm","Home","Opp","Rslt","Inngs","PA","AB","R","H","X2B","X3B","HR","RBI","BB","IBB","SO","HBP","SH","SF","ROE","GDP","SB","CS","BA","OBP","SLG","OPS","BOP","aLI","WPA","RE24","Pos","DELTAAVG"
"1","jeterde01",1995,"1","28 (27)","May 29, 1995","NYY","@","SEA","L,7-8","CG(12)","5","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0,".000",".000",".000","9","1.69","-0.231","-1.44","SS",NA
"2","jeterde01",1995,"2","29","May 30, 1995","NYY","@","SEA","L,3-7","CG","4","3","2","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0",0.25,".333",".250",".583","9","1.49","0.065","0.34","SS",0.25
"3","jeterde01",1995,"3","30","May 31, 1995","NYY","@","SEA","L,9-11","GS-9","4","3","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0",0.273,".385",".273",".657","8","1.70","0.072","0.49","SS",0.023
"5","jeterde01",1995,"4","31","Jun 2, 1995","NYY","H","CAL","L,2-3","CG","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.214,".313",".214",".527","9","1.03","-0.071","-0.47","SS",-0.059
"6","jeterde01",1995,"5","32","Jun 3, 1995","NYY","H","CAL","L,2-4","CG","4","4","0","1","1","0","0","1","0","0","2","0","0","0","0","0","0","0",0.222,".300",".278",".578","9","1.16","0.045","0.43","SS",0.00800000000000001
"7","jeterde01",1995,"6","33","Jun 4, 1995","NYY","H","CAL","W,11-3","CG","4","4","1","2","1","0","0","3","0","0","0","0","0","0","0","0","0","0",0.273,".333",".364",".697","8",".17","0.055","1.37","SS",0.051
"8","jeterde01",1995,"7","34","Jun 5, 1995","NYY","H","OAK","L,5-11","CG","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.231,".286",".308",".593","9",".50","-0.053","-0.82","SS",-0.042
"9","jeterde01",1995,"8","35","Jun 6, 1995","NYY","H","OAK","L,6-8","GS-9","4","4","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0",0.233,".281",".300",".581","9","1.41","-0.082","-0.64","SS",0.002
"10","jeterde01",1995,"9","36","Jun 7, 1995","NYY","H","OAK","W,6-1","CG","4","3","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.242,".306",".303",".609","9",".51","-0.014","0.04","SS",0.00899999999999998
"11","jeterde01",1995,"10","37","Jun 8, 1995","NYY","H","OAK","L,3-8","CG","4","4","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0",0.243,".300",".351",".651","9",".36","0.058","0.72","SS",0.001
"12","jeterde01",1995,"11","38","Jun 9, 1995","NYY","H","SEA","L,1-11","CG","3","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0",0.225,".279",".325",".604","9",".28","-0.022","-0.56","SS",-0.018
"13","jeterde01",1995,"12","39","Jun 10, 1995","NYY","H","SEA","L,2-3","GS-9","3","3","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0",0.233,".283",".349",".631","9",".58","-0.022","-0.41","SS",0.00800000000000001
"14","jeterde01",1995,"13","40","Jun 11, 1995","NYY","H","SEA","W,10-7","CG","4","4","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.234,".280",".340",".620","9","2.20","-0.030","-0.64","SS",0.001
"16","jeterde01",1995,"14","121 (80)","Sep 4, 1995","NYY","H","SEA","W,13-3","9-GF","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",0.234,".280",".340",".620","8","","0.000","0.00","SS",0
"17","jeterde01",1995,"15","141 (19)","Sep 26, 1995","NYY","@","MIL","W,5-4","GS-3","1","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0",0.25,".294",".375",".669","8",".84","0.105","1.09","SS",0.016
"137","jeterde01",1996,"16","1","Apr 2, 1996","NYY","@","CLE","W,7-1","CG","4","4","1","1","0","0","1","1","0","0","2","0","0","0","0","0","0","0",0.25,".250","1.000","1.250","9",".84","0.043","-0.16","SS",NA
"23","jeterde01",1996,"17","2","Apr 3, 1996","NYY","@","CLE","W,5-1","CG","4","3","3","3","0","0","0","0","1","0","0","0","0","0","0","0","1","0",0.571,".625","1.000","1.625","9",".75","0.102","1.47","SS",0.321
"310","jeterde01",1996,"18","3","Apr 6, 1996","NYY","@","TEX","L,2-4","CG","4","2","1","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0",0.444,".583",".778","1.361","9",".89","-0.022","-0.19","SS",-0.127
"4","jeterde01",1996,"19","4","Apr 7, 1996","NYY","@","TEX","L,2-7","CG","4","4","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0",0.385,".500",".615","1.115","9","1.26","-0.076","-0.66","SS",-0.059
"510","jeterde01",1996,"20","5","Apr 7, 1996","NYY","@","TEX","L,1-4","CG","3","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",0.333,".474",".533","1.007","8","1.03","-0.066","-0.43","SS",-0.052
"610","jeterde01",1996,"21","6","Apr 9, 1996","NYY","H","KCR","W,7-3","CG","4","3","1","1","0","0","0","0","1","0","1","0","0","0","1","0","0","1",0.333,".478",".500",".978","9",".94","0.024","0.08","SS",0
"79","jeterde01",1996,"22","7","Apr 11, 1996","NYY","H","KCR","W,5-3","CG","3","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0",0.316,".500",".474",".974","9",".53","0.006","-0.08","SS",-0.017
"810","jeterde01",1996,"23","8","Apr 12, 1996","NYY","H","TEX","W,4-3","CG","3","2","0","1","0","1","0","1","0","0","0","1","0","0","1","0","0","1",0.333,".517",".571","1.089","9",".81","0.048","1.26","SS",0.017
"910","jeterde01",1996,"24","9","Apr 13, 1996","NYY","H","TEX","L,6-10","CG","4","3","0","1","0","0","0","2","1","0","0","0","0","0","0","0","0","0",0.333,".515",".542","1.057","9","1.39","0.060","0.35","SS",0
"106","jeterde01",1996,"25","10","Apr 14, 1996","NYY","H","TEX","W,12-3","CG","5","3","2","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0",0.333,".526",".519","1.045","9",".34","0.016","0.30","SS",0
"1110","jeterde01",1996,"26","11","Apr 16, 1996","NYY","@","MIL","L,3-6","CG","4","4","0","2","0","0","0","1","0","0","0","0","0","0","0","1","0","0",0.355,".524",".516","1.040","9",".87","-0.013","-0.02","SS",0.022
"1210","jeterde01",1996,"27","12","Apr 17, 1996","NYY","@","MIL","L,4-8","CG","4","4","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0",0.343,".500",".486",".986","9",".68","-0.056","-0.28","SS",-0.012
"1310","jeterde01",1996,"28","13","Apr 19, 1996","NYY","@","MIN","L,1-7","CG","4","4","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0",0.308,".460",".436",".896","9",".48","-0.052","-1.04","SS",-0.035
"1410","jeterde01",1996,"29","14","Apr 20, 1996","NYY","@","MIN","W,7-6","CG","4","4","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.302,".444",".419",".863","9",".72","-0.067","-0.80","SS",-0.00600000000000001
"15","jeterde01",1996,"30","16 (1)","Apr 22, 1996","NYY","@","KCR","W,6-2","CG","5","4","0","3","0","0","0","2","0","0","0","0","1","0","0","0","0","0",0.34,".466",".447",".912","9",".68","0.119","1.14","SS",0.038
"163","jeterde01",1996,"31","17","Apr 23, 1996","NYY","@","KCR","L,2-5","CG","4","4","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.314,".435",".412",".847","9","1.18","-0.122","-1.07","SS",-0.026
"171","jeterde01",1996,"32","18","Apr 24, 1996","NYY","H","CLE","W,10-8","CG","4","4","1","2","0","0","0","2","0","0","1","0","0","0","0","0","1","0",0.327,".439",".418",".858","9",".51","0.138","2.39","SS",0.013
"18","jeterde01",1996,"33","19","Apr 25, 1996","NYY","H","CLE","L,3-4","CG","4","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0",0.305,".414",".390",".804","9","2.22","-0.268","-1.73","SS",-0.022
"19","jeterde01",1996,"34","20","Apr 26, 1996","NYY","H","MIN","W,5-4","CG","3","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",0.295,".403",".377",".780","9","1.27","-0.063","-0.76","SS",-0.01
"20","jeterde01",1996,"35","21","Apr 27, 1996","NYY","H","MIN","L,6-8","CG(10)","6","3","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0",0.281,".410",".359",".770","1","1.55","0.114","0.37","SS",-0.014
"21","jeterde01",1996,"36","22","Apr 28, 1996","NYY","H","MIN","W,6-3","CG","4","4","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0",0.265,".390",".338",".728","9","1.25","-0.192","-1.83","SS",-0.016
"22","jeterde01",1996,"37","23","Apr 30, 1996","NYY","@","BAL","W,13-10","CG","6","5","2","2","0","0","0","0","1","0","2","0","0","0","0","0","0","0",0.274,".398",".342",".740","1","1.17","0.001","-0.27","SS",0.00900000000000001
"24","jeterde01",1996,"38","24","May 1, 1996","NYY","@","BAL","W,11-6","CG(15)","8","5","2","1","0","0","0","0","1","1","3","1","1","0","1","0","0","0",0.269,".400",".333",".733","2","1.74","0.293","1.13","SS",-0.005
"25","jeterde01",1996,"39","25","May 2, 1996","NYY","H","CHW","W,5-1","CG","4","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0",0.256,".384",".317",".701","1",".50","-0.055","-0.97","SS",-0.013
"26","jeterde01",1996,"40","26","May 3, 1996","NYY","H","CHW","W,2-0","CG","3","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0.259,".382",".329",".712","9","1.39","-0.030","-0.04","SS",0.003
"27","jeterde01",1996,"41","27","May 4, 1996","NYY","H","CHW","L,5-11","CG","5","4","0","1","1","0","0","1","1","0","0","0","0","0","1","0","0","0",0.258,".383",".337",".720","1","1.66","0.082","0.56","SS",-0.001
"28","jeterde01",1996,"42","28","May 5, 1996","NYY","H","CHW","W,7-1","CG","3","3","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0",0.261,".382",".337",".719","9",".74","0.024","0.08","SS",0.003
"29","jeterde01",1996,"43","29","May 6, 1996","NYY","H","DET","W,10-5","CG","5","5","1","3","0","0","0","2","0","0","2","0","0","0","0","0","0","0",0.278,".391",".351",".742","9",".73","0.052","1.72","SS",0.017
"30","jeterde01",1996,"44","30","May 7, 1996","NYY","H","DET","W,12-5","CG","4","4","2","2","0","1","0","1","0","0","1","0","0","0","0","0","0","0",0.287,".395",".376",".771","9","1.21","0.039","1.23","SS",0.00899999999999995
"31","jeterde01",1996,"45","31","May 8, 1996","NYY","H","DET","W,10-3","CG","4","4","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0",0.286,".390",".371",".762","9",".58","-0.062","-0.44","SS",-0.001
"32","jeterde01",1996,"46","32","May 9, 1996","NYY","H","DET","L,2-4","CG","4","2","0","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0",0.29,".402",".374",".775","9","1.82","0.093","0.92","SS",0.004
"33","jeterde01",1996,"47","33","May 10, 1996","NYY","@","CHW","L,2-5","CG","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.279,".389",".360",".750","9",".94","-0.105","-1.33","SS",-0.011
"34","jeterde01",1996,"48","34","May 11, 1996","NYY","@","CHW","L,5-7","CG","4","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.278,".385",".357",".742","7","1.70","-0.101","-0.55","SS",-0.001
"35","jeterde01",1996,"49","35","May 12, 1996","NYY","@","CHW","W,9-8","CG","5","4","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0",0.277,".379",".353",".732","9","1.42","-0.076","-0.83","SS",-0.001
"36","jeterde01",1996,"50","36","May 14, 1996","NYY","H","SEA","W,2-0","CG","3","3","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.279,".378",".352",".730","9",".75","-0.040","-0.18","SS",0.002
"37","jeterde01",1996,"51","37","May 15, 1996","NYY","H","SEA","L,5-10","CG","4","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.272,".374",".344",".718","9",".68","-0.039","-0.30","SS",-0.00700000000000001
"38","jeterde01",1996,"52","38","May 17, 1996","NYY","H","CAL","W,8-5","CG","4","4","1","2","0","1","0","1","0","0","1","0","0","0","0","0","0","0",0.279,".377",".364",".742","8",".61","0.068","1.28","SS",0.00700000000000001
"39","jeterde01",1996,"53","39","May 18, 1996","NYY","H","CAL","W,7-3","CG","4","2","1","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0",0.275,".381",".359",".739","8",".42","0.057","0.40","SS",-0.004
"40","jeterde01",1996,"54","40","May 19, 1996","NYY","H","CAL","L,1-10","CG","4","3","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0",0.269,".377",".351",".728","8",".13","-0.006","0.03","SS",-0.00600000000000001
"41","jeterde01",1996,"55","41","May 21, 1996","NYY","H","OAK","W,7-3","CG","4","2","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0",0.265,".380",".346",".726","8",".62","0.005","-0.16","SS",-0.004
"42","jeterde01",1996,"56","42","May 22, 1996","NYY","H","OAK","L,1-5","CG","3","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.266,".380",".345",".725","8","1.19","-0.052","-0.19","SS",0.001
"43","jeterde01",1996,"57","43","May 23, 1996","NYY","H","OAK","W,4-3","CG","4","4","0","2","0","0","0","0","0","0","1","0","0","0","0","1","0","0",0.273,".382",".350",".732","9","1.54","-0.002","-0.01","SS",0.00700000000000001
"44","jeterde01",1996,"58","44","May 24, 1996","NYY","@","SEA","L,4-10","CG","4","4","2","2","0","0","1","2","0","0","0","0","0","0","0","0","0","0",0.279,".385",".374",".759","9",".58","0.014","0.79","SS",0.00600000000000001
"45","jeterde01",1996,"59","45","May 25, 1996","NYY","@","SEA","W,5-4","CG","4","3","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0",0.273,".376",".367",".743","9",".73","-0.052","-1.08","SS",-0.00600000000000001
"46","jeterde01",1996,"60","46","May 26, 1996","NYY","@","SEA","L,3-4","CG","3","3","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0",0.275,".376",".373",".748","9","1.35","-0.088","-0.50","SS",0.002
"47","jeterde01",1996,"61","47","May 27, 1996","NYY","@","CAL","W,16-5","CG","6","3","1","0","0","0","0","1","2","0","1","0","0","1","0","0","0","0",0.269,".374",".365",".740","9",".49","-0.056","-0.17","SS",-0.00600000000000001
"48","jeterde01",1996,"62","49 (1)","May 29, 1996","NYY","@","CAL","L,0-4","GS-9","3","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",0.266,".374",".361",".734","9",".95","-0.065","-0.74","SS",-0.003
"49","jeterde01",1996,"63","50","May 31, 1996","NYY","@","OAK","W,4-1","CG","4","3","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0",0.261,".371",".354",".725","9",".98","-0.057","-0.73","SS",-0.005
"51","jeterde01",1996,"64","52 (1)","Jun 2, 1996","NYY","@","OAK","W,11-4","CG","4","3","1","2","1","0","0","0","1","0","0","0","0","0","0","0","2","0",0.268,".379",".366",".745","9",".60","0.019","0.72","SS",0.00700000000000001
"52","jeterde01",1996,"65","53","Jun 4, 1996","NYY","H","TOR","W,5-4","CG","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.269,".378",".365",".743","9",".65","-0.029","-0.41","SS",0.001
"53","jeterde01",1996,"66","54","Jun 5, 1996","NYY","H","TOR","L,7-12","CG","4","4","2","2","0","0","1","2","0","0","1","0","0","0","0","0","0","0",0.275,".380",".386",".766","9",".34","-0.024","1.50","SS",0.00600000000000001
"54","jeterde01",1996,"67","55","Jun 6, 1996","NYY","H","TOR","W,8-1","CG","4","4","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.274,".378",".383",".761","9",".57","-0.034","-1.17","SS",-0.001
"55","jeterde01",1996,"68","56","Jun 7, 1996","NYY","@","DET","L,5-6","CG","4","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.27,".376",".376",".752","9","1.05","-0.035","-0.27","SS",-0.004
"56","jeterde01",1996,"69","57","Jun 8, 1996","NYY","@","DET","L,7-9","CG","4","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.275,".378",".379",".757","9",".90","-0.016","-0.10","SS",0.005
"57","jeterde01",1996,"70","58","Jun 9, 1996","NYY","@","DET","W,3-2","CG","5","4","1","2","1","0","0","0","0","0","1","0","1","0","0","0","0","0",0.28,".380",".387",".767","1","1.16","0.045","-0.01","SS",0.005
"58","jeterde01",1996,"71","59","Jun 10, 1996","NYY","@","TOR","W,5-3","CG","4","4","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0",0.279,".378",".384",".762","9",".59","-0.028","-0.51","SS",-0.001
"59","jeterde01",1996,"72","60","Jun 11, 1996","NYY","@","TOR","W,6-4","CG","4","4","0","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0",0.289,".384",".392",".776","8",".72","0.085","1.31","SS",0.00999999999999995
"60","jeterde01",1996,"73","61","Jun 12, 1996","NYY","@","TOR","L,4-7","CG","4","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.283,".378",".384",".762","7",".96","-0.118","-1.65","SS",-0.00600000000000001
"61","jeterde01",1996,"74","62","Jun 13, 1996","NYY","H","CLE","L,2-6","CG","3","3","1","1","1","0","0","1","0","0","1","0","0","0","1","0","0","0",0.284,".377",".388",".765","9",".95","0.081","1.09","SS",0.001
"62","jeterde01",1996,"75","63","Jun 14, 1996","NYY","H","CLE","W,4-3","CG","3","3","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0",0.284,".377",".387",".764","8","2.15","0.124","0.56","SS",0
"63","jeterde01",1996,"76","64","Jun 15, 1996","NYY","H","CLE","L,3-10","CG","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",0.279,".370",".380",".750","7",".85","-0.157","-2.01","SS",-0.00499999999999995
"64","jeterde01",1996,"77","65","Jun 16, 1996","NYY","H","CLE","W,5-4","8-GF","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.278,".369",".378",".747","6",".63","-0.017","-0.28","SS",-0.001
"65","jeterde01",1996,"78","66","Jun 17, 1996","NYY","H","MIN","L,3-6","CG","4","4","0","1","1","0","0","2","0","0","2","0","0","0","0","0","0","0",0.277,".367",".380",".747","9","1.05","-0.051","0.71","SS",-0.001
"66","jeterde01",1996,"79","67","Jun 18, 1996","NYY","H","MIN","W,2-0","CG","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.273,".363",".375",".738","2",".88","-0.070","-0.60","SS",-0.004
"67","jeterde01",1996,"80","68","Jun 21, 1996","NYY","@","CLE","W,8-7","CG(10)","6","6","0","1","0","0","0","2","0","0","2","0","0","0","0","0","0","0",0.27,".358",".369",".727","2","2.93","0.096","-0.54","SS",-0.003
"68","jeterde01",1996,"81","69","Jun 21, 1996","NYY","@","CLE","W,9-3","CG","6","6","1","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.276,".361",".373",".734","1",".36","0.010","-0.70","SS",0.00600000000000001
"69","jeterde01",1996,"82","70","Jun 22, 1996","NYY","@","CLE","W,11-9","CG","5","4","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0",0.272,".354",".366",".721","9","1.31","-0.106","-2.27","SS",-0.004
"70","jeterde01",1996,"83","71","Jun 23, 1996","NYY","@","CLE","W,6-5","CG","4","3","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0",0.272,".357",".366",".723","8",".87","-0.009","-0.02","SS",0
"71","jeterde01",1996,"84","72","Jun 24, 1996","NYY","@","MIN","L,0-3","CG","4","3","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.273,".359",".366",".724","9",".81","0.039","0.15","SS",0.001
"72","jeterde01",1996,"85","73","Jun 25, 1996","NYY","@","MIN","L,1-6","CG","4","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0.273,".357",".368",".725","8",".50","-0.019","-0.66","SS",0
"73","jeterde01",1996,"86","74","Jun 25, 1996","NYY","@","MIN","W,6-2","CG","5","4","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1",0.272,".356",".366",".721","1",".57","-0.017","-0.86","SS",-0.001
"74","jeterde01",1996,"87","75","Jun 26, 1996","NYY","@","MIN","W,2-1","CG","4","2","0","1","1","0","0","1","1","0","0","0","0","1","0","0","0","0",0.274,".358",".371",".729","2","1.93","0.071","0.46","SS",0.002
"75","jeterde01",1996,"88","76","Jun 27, 1996","NYY","H","BAL","W,3-2","CG","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",0.27,".353",".365",".718","2","1.05","-0.093","-1.46","SS",-0.004
"76","jeterde01",1996,"89","77","Jun 28, 1996","NYY","H","BAL","L,4-7","CG","4","4","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0.273,".355",".371",".726","9","1.49","0.010","0.37","SS",0.003
"77","jeterde01",1996,"90","78","Jun 29, 1996","NYY","H","BAL","W,4-3","CG","4","3","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0",0.27,".353",".367",".720","2",".84","-0.103","-1.16","SS",-0.003
"78","jeterde01",1996,"91","79","Jun 30, 1996","NYY","H","BAL","L,1-9","CG","4","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.27,".352",".365",".717","1",".34","-0.036","-0.62","SS",0
"80","jeterde01",1996,"92","80","Jul 1, 1996","NYY","H","BOS","W,2-0","CG","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.267,".349",".361",".709","8","1.06","-0.086","-0.91","SS",-0.003
"81","jeterde01",1996,"93","81","Jul 2, 1996","NYY","H","BOS","W,7-5","CG","4","4","0","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0",0.278,".357",".370",".727","9","1.57","0.247","2.31","SS",0.011
"82","jeterde01",1996,"94","82","Jul 4, 1996","NYY","H","MIL","W,4-1","GS-9","4","4","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0",0.277,".356",".380",".735","2",".78","0.042","0.11","SS",-0.001
"83","jeterde01",1996,"95","83","Jul 5, 1996","NYY","H","MIL","W,12-3","CG","4","3","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0",0.274,".354",".375",".730","9",".59","-0.001","-0.27","SS",-0.003
"84","jeterde01",1996,"96","84","Jul 6, 1996","NYY","H","MIL","W,2-0","CG","4","4","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0",0.27,".350",".370",".720","8",".99","-0.162","-1.97","SS",-0.004
"85","jeterde01",1996,"97","85","Jul 7, 1996","NYY","H","MIL","L,1-4","CG","4","4","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.277,".355",".375",".730","9","1.00","0.074","0.51","SS",0.00700000000000001
"86","jeterde01",1996,"98","86","Jul 11, 1996","NYY","@","BAL","W,4-2","CG","4","4","1","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0",0.277,".353",".384",".738","9","1.42","0.201","0.34","SS",0
"87","jeterde01",1996,"99","87","Jul 13, 1996","NYY","@","BAL","W,3-2","CG","4","4","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0.276,".352",".386",".738","1","1.69","0.002","-0.16","SS",-0.001
"88","jeterde01",1996,"100","88","Jul 13, 1996","NYY","@","BAL","W,7-5","CG","4","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0.276,".351",".387",".738","8",".94","-0.041","-0.31","SS",0
"89","jeterde01",1996,"101","89","Jul 14, 1996","NYY","@","BAL","W,4-1","CG","4","3","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0",0.277,".353",".387",".739","9",".84","-0.041","-0.83","SS",0.001
"90","jeterde01",1996,"102","90","Jul 15, 1996","NYY","@","BOS","L,6-8","CG","5","4","1","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0",0.28,".356",".391",".748","1",".88","0.031","0.32","SS",0.003
"91","jeterde01",1996,"103","91","Jul 16, 1996","NYY","@","BOS","W,9-5","CG","5","5","0","1","1","0","0","1","0","0","2","0","0","0","0","0","0","0",0.278,".354",".392",".746","1",".80","0.043","0.17","SS",-0.002
"92","jeterde01",1996,"104","92","Jul 17, 1996","NYY","@","BOS","L,11-12","CG","5","5","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0",0.28,".355",".395",".750","8","1.61","-0.169","-1.24","SS",0.002
"93","jeterde01",1996,"105","93","Jul 18, 1996","NYY","@","MIL","L,4-16","GS-7","2","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.278,".353",".392",".745","9","1.04","-0.068","-0.69","SS",-0.002
"94","jeterde01",1996,"106","94","Jul 19, 1996","NYY","@","MIL","L,5-7","CG","4","4","3","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0",0.284,".357",".400",".757","9","1.13","0.008","0.60","SS",0.00599999999999995
"95","jeterde01",1996,"107","95","Jul 20, 1996","NYY","@","MIL","W,4-2","CG","4","4","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.284,".356",".398",".754","9",".62","-0.044","-0.86","SS",0
"96","jeterde01",1996,"108","96","Jul 21, 1996","NYY","@","MIL","L,2-3","CG","4","4","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0.287,".358",".402",".760","8","1.38","-0.005","-0.03","SS",0.003
"97","jeterde01",1996,"109","97","Jul 22, 1996","NYY","H","TEX","L,1-6","CG","3","3","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0",0.287,".357",".402",".759","9","1.13","-0.045","-0.47","SS",0
"98","jeterde01",1996,"110","98","Jul 23, 1996","NYY","H","TEX","W,6-0","CG","4","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",0.284,".354",".397",".751","7","1.04","-0.051","-1.52","SS",-0.003
"99","jeterde01",1996,"111","99","Jul 24, 1996","NYY","H","TEX","W,4-2","CG","3","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.287,".356",".399",".755","9","1.26","0.080","0.46","SS",0.003
"100","jeterde01",1996,"112","100","Jul 25, 1996","NYY","H","KCR","L,0-7","CG","4","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.292,".360",".404",".764","9",".87","0.007","0.18","SS",0.005
"101","jeterde01",1996,"113","101","Jul 26, 1996","NYY","H","KCR","W,15-1","CG","6","5","2","2","0","0","0","2","1","0","0","0","0","0","0","0","0","0",0.294,".362",".403",".766","1",".22","0.017","1.67","SS",0.002
"102","jeterde01",1996,"114","102","Jul 27, 1996","NYY","H","KCR","W,5-4","CG","4","4","1","2","0","0","0","0","0","0","1","0","0","0","0","1","1","0",0.296,".364",".405",".768","9",".69","-0.049","-0.33","SS",0.002
"103","jeterde01",1996,"115","103","Jul 28, 1996","NYY","H","KCR","W,3-2","CG","3","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1",0.297,".363",".404",".767","8","1.56","-0.132","-0.93","SS",0.001
"104","jeterde01",1996,"116","104","Jul 30, 1996","NYY","@","TEX","L,2-15","GS-6","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.298,".364",".404",".769","9",".51","-0.025","-0.14","SS",0.001
"105","jeterde01",1996,"117","105","Jul 31, 1996","NYY","@","TEX","L,2-9","CG","5","5","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0",0.299,".365",".404",".769","1",".71","0.013","0.49","SS",0.001
